timestamp_us,local_timestamp_us,exchange,market_id,slug,asset_id,outcome,bid_price,bid_size,ask_price,ask_size
1772317836205000,1772317836215032,polymarket,0x62c3a01373b62d830717d5fedf3289662ea3971f3b1a6ab7c6aeef019b92debd,btc-updown-5m-1772323200,81715960876792788422527758885904722229420166075410575388978430362938033123768,Down,0.49,1605.88,0.5,504.88
1772317836207000,1772317836216038,polymarket,0x62c3a01373b62d830717d5fedf3289662ea3971f3b1a6ab7c6aeef019b92debd,btc-updown-5m-1772323200,81715960876792788422527758885904722229420166075410575388978430362938033123768,Down,0.49,1610.88,0.5,504.88
1772317840940000,1772317840955876,polymarket,0x62c3a01373b62d830717d5fedf3289662ea3971f3b1a6ab7c6aeef019b92debd,btc-updown-5m-1772323200,81715960876792788422527758885904722229420166075410575388978430362938033123768,Down,0.49,1615.88,0.5,504.88
1772317840942000,1772317840966766,polymarket,0x62c3a01373b62d830717d5fedf3289662ea3971f3b1a6ab7c6aeef019b92debd,btc-updown-5m-1772323200,81715960876792788422527758885904722229420166075410575388978430362938033123768,Down,0.49,1615.88,0.5,509.88
1772317845145000,1772317845154114,polymarket,0x62c3a01373b62d830717d5fedf3289662ea3971f3b1a6ab7c6aeef019b92debd,btc-updown-5m-1772323200,81715960876792788422527758885904722229420166075410575388978430362938033123768,Down,0.49,1615.88,0.5,514.88
1772317845146000,1772317845155717,polymarket,0x62c3a01373b62d830717d5fedf3289662ea3971f3b1a6ab7c6aeef019b92debd,btc-updown-5m-1772323200,81715960876792788422527758885904722229420166075410575388978430362938033123768,Down,0.49,1620.88,0.5,514.88
1772317849616000,1772317849648009,polymarket,0x62c3a01373b62d830717d5fedf3289662ea3971f3b1a6ab7c6aeef019b92debd,btc-updown-5m-1772323200,81715960876792788422527758885904722229420166075410575388978430362938033123768,Down,0.49,1625.88,0.5,514.88
1772317849617000,1772317849648029,polymarket,0x62c3a01373b62d830717d5fedf3289662ea3971f3b1a6ab7c6aeef019b92debd,btc-updown-5m-1772323200,81715960876792788422527758885904722229420166075410575388978430362938033123768,Down,0.49,1625.88,0.5,519.88
1772317853918000,1772317853928255,polymarket,0x62c3a01373b62d830717d5fedf3289662ea3971f3b1a6ab7c6aeef019b92debd,btc-updown-5m-1772323200,81715960876792788422527758885904722229420166075410575388978430362938033123768,Down,0.49,1625.88,0.5,524.88
1772317853919000,1772317853929309,polymarket,0x62c3a01373b62d830717d5fedf3289662ea3971f3b1a6ab7c6aeef019b92debd,btc-updown-5m-1772323200,81715960876792788422527758885904722229420166075410575388978430362938033123768,Down,0.49,1630.88,0.5,524.88
1772317858342000,1772317858351770,polymarket,0x62c3a01373b62d830717d5fedf3289662ea3971f3b1a6ab7c6aeef019b92debd,btc-updown-5m-1772323200,81715960876792788422527758885904722229420166075410575388978430362938033123768,Down,0.49,1635.88,0.5,524.88
1772317858343000,1772317858352800,polymarket,0x62c3a01373b62d830717d5fedf3289662ea3971f3b1a6ab7c6aeef019b92debd,btc-updown-5m-1772323200,81715960876792788422527758885904722229420166075410575388978430362938033123768,Down,0.49,1635.88,0.5,529.88
1772317862383000,1772317862392404,polymarket,0x62c3a01373b62d830717d5fedf3289662ea3971f3b1a6ab7c6aeef019b92debd,btc-updown-5m-1772323200,81715960876792788422527758885904722229420166075410575388978430362938033123768,Down,0.49,1635.88,0.5,534.88
1772317862384000,1772317862393883,polymarket,0x62c3a01373b62d830717d5fedf3289662ea3971f3b1a6ab7c6aeef019b92debd,btc-updown-5m-1772323200,81715960876792788422527758885904722229420166075410575388978430362938033123768,Down,0.49,1640.88,0.5,534.88
1772317866427000,1772317866533895,polymarket,0x62c3a01373b62d830717d5fedf3289662ea3971f3b1a6ab7c6aeef019b92debd,btc-updown-5m-1772323200,81715960876792788422527758885904722229420166075410575388978430362938033123768,Down,0.49,1645.88,0.5,534.88
1772317866429000,1772317866533914,polymarket,0x62c3a01373b62d830717d5fedf3289662ea3971f3b1a6ab7c6aeef019b92debd,btc-updown-5m-1772323200,81715960876792788422527758885904722229420166075410575388978430362938033123768,Down,0.49,1645.88,0.5,539.88
1772317870626000,1772317870692654,polymarket,0x62c3a01373b62d830717d5fedf3289662ea3971f3b1a6ab7c6aeef019b92debd,btc-updown-5m-1772323200,81715960876792788422527758885904722229420166075410575388978430362938033123768,Down,0.49,1645.88,0.5,544.88
1772317870628000,1772317870692666,polymarket,0x62c3a01373b62d830717d5fedf3289662ea3971f3b1a6ab7c6aeef019b92debd,btc-updown-5m-1772323200,81715960876792788422527758885904722229420166075410575388978430362938033123768,Down,0.49,1650.88,0.5,544.88
1772317875209000,1772317875219197,polymarket,0x62c3a01373b62d830717d5fedf3289662ea3971f3b1a6ab7c6aeef019b92debd,btc-updown-5m-1772323200,81715960876792788422527758885904722229420166075410575388978430362938033123768,Down,0.49,1655.88,0.5,544.88
1772317875210000,1772317875219739,polymarket,0x62c3a01373b62d830717d5fedf3289662ea3971f3b1a6ab7c6aeef019b92debd,btc-updown-5m-1772323200,81715960876792788422527758885904722229420166075410575388978430362938033123768,Down,0.49,1655.88,0.5,549.88
