2026-03-03 17:55:11 UTC | 2026-03-03 17:55:11 | order_id=0xa78e05e8b9b123d634006e656550a37b68dde1d889c68aec1d89105fd72634e4 | market=xrp-updown-5m-1772560500 | coin=XRP | side=DOWN | entry=0.5100 | size=5.0000 | pnl=-- | pattern=UUUU | dry_run=False | outcome=LOSS -$2.5500
2026-03-03 18:25:14 UTC | 2026-03-03 18:25:14 | order_id=0x98646229b7337f71b5c19e02445b1e1df3ddb5b95ff7ef06f5f24ea887ed4ad8 | market=btc-updown-5m-1772562300 | coin=BTC | side=DOWN | entry=0.5100 | size=5.0000 | pnl=-- | pattern=UDUU | dry_run=False | outcome=WIN +$2.4500
2026-03-03 18:40:11 UTC | 2026-03-03 18:40:11 | order_id=0xcd7894cbe1e756dce4b9d9a14b71e4f32420da9d0a59bffb40fbeb0b61c1a7bd | market=btc-updown-5m-1772563200 | coin=BTC | side=DOWN | entry=0.5100 | size=5.0000 | pnl=-- | pattern=UDUU | dry_run=False | outcome=WIN +$2.4500
2026-03-03 19:20:01 UTC | 2026-03-03 19:20:01 | order_id=0xfd5bdc44d933eaa2d1463c76319c0c7065ec7d468ef99e538639c7203e8d07cf | market=btc-updown-5m-1772565600 | coin=BTC | side=DOWN | entry=0.5000 | size=5.0000 | pnl=-- | pattern=UDUU | dry_run=False | outcome=LOSS -$2.5000
2026-03-03 20:30:11 UTC | 2026-03-03 20:30:11 | order_id=0x284656ba16387e9713e679eb89c4676a99da6c5fd76f7abd5e946391c7847e68 | market=btc-updown-5m-1772569800 | coin=BTC | side=DOWN | entry=0.5100 | size=5.0000 | pnl=-- | pattern=UUU | dry_run=False | outcome=WIN +$2.4500
2026-03-03 21:45:11 UTC | 2026-03-03 21:45:11 | order_id=0xd7922d6d308ca343b48a5826895c531e9d373ee62b3aa39c6a2cf6716c397dfe | market=sol-updown-5m-1772574300 | coin=SOL | side=DOWN | entry=0.5100 | size=5.0000 | pnl=-- | pattern=UUU | dry_run=False | outcome=LOSS -$2.5500
2026-03-03 21:50:11 UTC | 2026-03-03 21:50:11 | order_id=0x3b10329cd0b80c91af73137cafb3252d70aa59b9ed2203d42ea01d626453daf2 | market=sol-updown-5m-1772574600 | coin=SOL | side=DOWN | entry=0.5100 | size=5.0000 | pnl=-- | pattern=UUUU | dry_run=False | outcome=LOSS -$2.5500
2026-03-03 21:55:11 UTC | 2026-03-03 21:55:11 | order_id=0x23d088d61f9fdd2d72ca7544add8e92bdae979ae9d65e06579cdfaa0691e7ce6 | market=sol-updown-5m-1772574900 | coin=SOL | side=DOWN | entry=0.5100 | size=5.0000 | pnl=-- | pattern=UUUUU | dry_run=False | outcome=LOSS -$2.5500
2026-03-03 21:55:11 UTC | 2026-03-03 21:55:11 | order_id=0x0c8851a5371100141db9ee840b1ddc38f40f1a470b008da2ac32a6a7e4c9dcd0 | market=xrp-updown-5m-1772574900 | coin=XRP | side=DOWN | entry=0.5100 | size=5.0000 | pnl=-- | pattern=UUU | dry_run=False | outcome=LOSS -$2.5500
2026-03-03 22:00:11 UTC | 2026-03-03 22:00:11 | order_id=0x6aec9bdb23daabc05e14c14a3376edd92f7ddabd55a05a1af9f7aa3605018da6 | market=sol-updown-5m-1772575200 | coin=SOL | side=DOWN | entry=0.5100 | size=5.0000 | pnl=-- | pattern=UUUUU | dry_run=False | outcome=LOSS -$2.5500
2026-03-03 22:00:11 UTC | 2026-03-03 22:00:11 | order_id=0x02b2c3c80d5e047144007531cc364b6e982ecdf28e4084bbad423e524943ece9 | market=xrp-updown-5m-1772575200 | coin=XRP | side=DOWN | entry=0.5100 | size=5.0000 | pnl=-- | pattern=UUUU | dry_run=False | outcome=LOSS -$2.5500
2026-03-03 22:05:11 UTC | 2026-03-03 22:05:11 | order_id=0xc6aabb2cd3c824f7e1848e556944bf4ebc9283e1253fe8d168039ed971b52348 | market=xrp-updown-5m-1772575500 | coin=XRP | side=DOWN | entry=0.5100 | size=5.0000 | pnl=-- | pattern=UUUUU | dry_run=False | outcome=LOSS -$2.5500
2026-03-03 22:10:11 UTC | 2026-03-03 22:10:11 | order_id=0x44aea0eb0d63b33651c799bff86fb35ff7ec5bfc67c2623f4a6f325d022463ed | market=btc-updown-5m-1772575800 | coin=BTC | side=DOWN | entry=0.5100 | size=5.0000 | pnl=-- | pattern=UDUU | dry_run=False | outcome=WIN +$2.4500
2026-03-03 22:10:11 UTC | 2026-03-03 22:10:11 | order_id=0x61e0d786a148d374a4f3a88c764c9f6978e20b22f6220ad854f90f7b62323710 | market=sol-updown-5m-1772575800 | coin=SOL | side=DOWN | entry=0.5100 | size=5.0000 | pnl=-- | pattern=UUUUU | dry_run=False | outcome=WIN +$2.4500
2026-03-03 22:10:11 UTC | 2026-03-03 22:10:11 | order_id=0x61ed929429ab1d0b3af241d0a08a43777a07861daffa892c3972d6c7ef145f9b | market=xrp-updown-5m-1772575800 | coin=XRP | side=DOWN | entry=0.5100 | size=5.0000 | pnl=-- | pattern=UUUUU | dry_run=False | outcome=WIN +$2.4500
2026-03-03 22:40:11 UTC | 2026-03-03 22:40:11 | order_id=0xcdcfde74932329b50a5c046ebd73213defa1a32141e3c5879c8c3daa596e78a6 | market=eth-updown-5m-1772577600 | coin=ETH | side=DOWN | entry=0.5100 | size=5.0000 | pnl=-- | pattern=UUU | dry_run=False | outcome=LOSS -$2.5500
2026-03-03 22:40:11 UTC | 2026-03-03 22:40:11 | order_id=0x6375b8e783b14a35416e798e99379ad30d7fbc7b29ca53dafe1755cfde4e892e | market=xrp-updown-5m-1772577600 | coin=XRP | side=DOWN | entry=0.5100 | size=5.0000 | pnl=-- | pattern=UUU | dry_run=False | outcome=LOSS -$2.5500
2026-03-03 22:45:11 UTC | 2026-03-03 22:45:11 | order_id=0x6f8574cb9fe1291667114003937491a08d525c3623fda77ad5eefe7dfd4ceb9c | market=eth-updown-5m-1772577900 | coin=ETH | side=DOWN | entry=0.5400 | size=5.0000 | pnl=-- | pattern=UUUU | dry_run=False | outcome=WIN +$2.3000
2026-03-03 22:45:11 UTC | 2026-03-03 22:45:11 | order_id=0x0028397d374b5770e10bcfae2deec77d3f105cad0774a13abaefd4af4fc6c4d0 | market=xrp-updown-5m-1772577900 | coin=XRP | side=DOWN | entry=0.5100 | size=5.0000 | pnl=-- | pattern=UUUU | dry_run=False | outcome=WIN +$2.4500
2026-03-03 23:15:11 UTC | 2026-03-03 23:15:11 | order_id=0x9999c18a64d06819c25b2d817153198aefba698d0899577368f15ce9a88e2403 | market=btc-updown-5m-1772579700 | coin=BTC | side=DOWN | entry=0.5100 | size=5.0000 | pnl=-- | pattern=UUUUU | dry_run=False | outcome=WIN +$2.4500
2026-03-03 23:15:11 UTC | 2026-03-03 23:15:11 | order_id=0x1a3b1f9489b5368ac2b3474d69fa4f8a2db086e950fb2e7fddeb5092eaef66ee | market=eth-updown-5m-1772579700 | coin=ETH | side=DOWN | entry=0.5100 | size=5.0000 | pnl=-- | pattern=UUU | dry_run=False | outcome=WIN +$2.4500
2026-03-03 23:15:11 UTC | 2026-03-03 23:15:11 | order_id=0x694ec2910dc4f5461c669bf4a8573c1e42c5bd2d7fd7e12736f25a04e0c9a9f7 | market=sol-updown-5m-1772579700 | coin=SOL | side=DOWN | entry=0.5100 | size=5.0000 | pnl=-- | pattern=UUU | dry_run=False | outcome=LOSS -$2.5500
2026-03-03 23:20:11 UTC | 2026-03-03 23:20:11 | order_id=0xdd30ad2855e1e1b0f39a132416749a5cc71b981ae230966d030a31a82a2f2ac0 | market=sol-updown-5m-1772580000 | coin=SOL | side=DOWN | entry=0.5100 | size=5.0000 | pnl=-- | pattern=UUUU | dry_run=False | outcome=LOSS -$2.5500
2026-03-03 23:50:11 UTC | 2026-03-03 23:50:11 | order_id=0x9ab2a93ab14d44f8a323c1524a99ed7c49204f69382cac1b00055c0683394465 | market=sol-updown-5m-1772581800 | coin=SOL | side=DOWN | entry=0.5100 | size=5.0000 | pnl=-- | pattern=UUU | dry_run=False | outcome=WIN +$2.4500
2026-03-04 01:45:11 UTC | 2026-03-04 01:45:11 | order_id=0xb9f85837691e3116397d3265f01b7e4849d7c175a0aae79aa615180174a7796b | market=btc-updown-5m-1772588700 | coin=BTC | side=DOWN | entry=0.5100 | size=5.0000 | pnl=-- | pattern=UUUU | dry_run=False | outcome=WIN +$2.4500
2026-03-04 02:50:11 UTC | 2026-03-04 02:50:11 | order_id=0x786d4ee0f8745794dd9129da418ddc41716cc98ff5bccdaaeeaa129f10ebb593 | market=btc-updown-5m-1772592600 | coin=BTC | side=DOWN | entry=0.5100 | size=5.0000 | pnl=-- | pattern=UUU | dry_run=False | outcome=LOSS -$2.5500
2026-03-04 02:55:11 UTC | 2026-03-04 02:55:11 | order_id=0xe6f4a1417691b6ef6c3b76174c75a1992b703049dcceacabb6c5fcd99aab9696 | market=btc-updown-5m-1772592900 | coin=BTC | side=DOWN | entry=0.5100 | size=5.0000 | pnl=-- | pattern=UUUU | dry_run=False | outcome=LOSS -$2.5500
2026-03-04 03:20:01 UTC | 2026-03-04 03:20:01 | order_id=0xbc08cd74c1dbbbde067bbd96770a105c1cdaa0a66b2115254f778a39215a7cad | market=sol-updown-5m-1772594400 | coin=SOL | side=DOWN | entry=0.4800 | size=5.0000 | pnl=-- | pattern=UUU | dry_run=False | outcome=WIN +$2.6000
2026-03-04 03:20:11 UTC | 2026-03-04 03:20:11 | order_id=0xcdac2571ccd4238cc7f2e1de596ecdf3a56e7667ccd2c61f5df21e7b618d621e | market=xrp-updown-5m-1772594400 | coin=XRP | side=DOWN | entry=0.5100 | size=5.0000 | pnl=-- | pattern=UUU | dry_run=False | outcome=WIN +$2.4500
2026-03-04 04:00:11 UTC | 2026-03-04 04:00:11 | order_id=0x8a483dc5a7e6fb963331890d5a2e4c8137232a40ef731b2e92a8388e5e5ffd71 | market=sol-updown-5m-1772596800 | coin=SOL | side=DOWN | entry=0.5100 | size=5.0000 | pnl=-- | pattern=UUU | dry_run=False | outcome=WIN +$2.4500
2026-03-04 04:15:11 UTC | 2026-03-04 04:15:11 | order_id=0x96e49a8bb4f5c8c2a9c465032790be55a4047970444022f1bcfbdddd04f8ab40 | market=btc-updown-5m-1772597700 | coin=BTC | side=DOWN | entry=0.5100 | size=5.0000 | pnl=-- | pattern=UDUU | dry_run=False | outcome=WIN +$2.4500
2026-03-04 05:05:11 UTC | 2026-03-04 05:05:11 | order_id=0x2a8a0391474c870d98d194f22dd52774cf0b31355cf58334f18d04a0558de543 | market=btc-updown-5m-1772600700 | coin=BTC | side=DOWN | entry=0.5100 | size=5.0000 | pnl=-- | pattern=UUUUU | dry_run=False | outcome=LOSS -$2.5500
2026-03-04 05:15:01 UTC | 2026-03-04 05:15:01 | order_id=0x60fc5be5a8082822968243501195524f68f29496f50971d92659921749036574 | market=btc-updown-5m-1772601300 | coin=BTC | side=DOWN | entry=0.5000 | size=5.0000 | pnl=-- | pattern=UUUUU | dry_run=False | outcome=LOSS -$2.5000
2026-03-04 05:20:11 UTC | 2026-03-04 05:20:11 | order_id=0x750297ebb40daa92876ce7fcfbeb778baa96bbcdb2b77f72566c1608b6383dc0 | market=btc-updown-5m-1772601600 | coin=BTC | side=DOWN | entry=0.5100 | size=4.9925 | pnl=-- | pattern=UUUUU | dry_run=False | outcome=WIN +$2.4463
2026-03-04 05:20:11 UTC | 2026-03-04 05:20:11 | order_id=0xd6e1d590f27921e936f9d8b0cbb4ca2eb4a40967d787570938a3507790a9a270 | market=xrp-updown-5m-1772601600 | coin=XRP | side=DOWN | entry=0.5100 | size=4.9949 | pnl=-- | pattern=UUU | dry_run=False | outcome=WIN +$2.4475
2026-03-04 06:40:01 UTC | 2026-03-04 06:40:01 | order_id=0x752857e2c81b5cc6c1d0766eb395582aa66cd32a7a00614f59351f9f4ebb256d | market=eth-updown-5m-1772606400 | coin=ETH | side=DOWN | entry=0.5400 | size=5.0000 | pnl=-- | pattern=UUUU | dry_run=False | outcome=LOSS -$2.7000
2026-03-04 06:40:11 UTC | 2026-03-04 06:40:11 | order_id=0xe964e71df68029c1f6fb5a17d417eb0bc6c3c12caa73e49b6ac5e171925ca575 | market=btc-updown-5m-1772606400 | coin=BTC | side=DOWN | entry=0.5100 | size=5.0000 | pnl=-- | pattern=UDUU | dry_run=False | outcome=LOSS -$2.5500
2026-03-04 06:45:12 UTC | 2026-03-04 06:45:12 | order_id=0x8affab629f8e32991bc0ce29e5e91881d138da524b6d8d7ca84d9b2a0027dc8a | market=eth-updown-5m-1772606700 | coin=ETH | side=DOWN | entry=0.5400 | size=5.0000 | pnl=-- | pattern=UUUUU | dry_run=False | outcome=WIN +$2.3000
2026-03-04 06:45:12 UTC | 2026-03-04 06:45:12 | order_id=0xc2c90efe782c3b7a55cbd0531b57dee7a1115b8210de82da4e3df5d74c67e0e9 | market=xrp-updown-5m-1772606700 | coin=XRP | side=DOWN | entry=0.5100 | size=5.0000 | pnl=-- | pattern=UUU | dry_run=False | outcome=LOSS -$2.5500
2026-03-04 07:30:11 UTC | 2026-03-04 07:30:11 | order_id=0xf94e3c4bfd20e434c062122bcabf3f87a6b411871679d0271e47dd9c96a485e5 | market=btc-updown-5m-1772609400 | coin=BTC | side=DOWN | entry=0.5100 | size=5.0000 | pnl=-- | pattern=UUU | dry_run=False | outcome=LOSS -$2.5500
2026-03-04 07:30:11 UTC | 2026-03-04 07:30:11 | order_id=0x47a976c2c0de691e297575ec80dedbdce080c52e54ab27fba2031d1565817961 | market=eth-updown-5m-1772609400 | coin=ETH | side=DOWN | entry=0.5100 | size=5.0000 | pnl=-- | pattern=UUU | dry_run=False | outcome=LOSS -$2.5500
2026-03-04 07:30:11 UTC | 2026-03-04 07:30:11 | order_id=0xe88be2afcd61fb10d790b3d0b840f3b09ebd46e1402e5d38ac868d326ca1d1ae | market=sol-updown-5m-1772609400 | coin=SOL | side=DOWN | entry=0.5100 | size=5.0000 | pnl=-- | pattern=UUU | dry_run=False | outcome=LOSS -$2.5500
2026-03-04 07:30:12 UTC | 2026-03-04 07:30:12 | order_id=0xc463c4d4192a970f9ea0e905d4a9ff515ff75b15fef17210258ab08e3579fe48 | market=xrp-updown-5m-1772609400 | coin=XRP | side=DOWN | entry=0.5100 | size=5.0000 | pnl=-- | pattern=UUU | dry_run=False | outcome=LOSS -$2.5500
2026-03-04 07:35:11 UTC | 2026-03-04 07:35:11 | order_id=0x34c66d17aee910175900402abe76202e5c3d7d02d1e826e32c33eefa79409f6a | market=eth-updown-5m-1772609700 | coin=ETH | side=DOWN | entry=0.5400 | size=5.0000 | pnl=-- | pattern=UUUU | dry_run=False | outcome=WIN +$2.3000
2026-03-04 08:35:11 UTC | 2026-03-04 08:35:11 | order_id=0xe7fc07df361f060dd71dc9b8496db66cbddcd8039de64cd4e61f4d2e24c6171e | market=btc-updown-5m-1772613300 | coin=BTC | side=DOWN | entry=0.5100 | size=4.9902 | pnl=-- | pattern=UUU | dry_run=False | outcome=LOSS -$2.5450
2026-03-04 08:40:11 UTC | 2026-03-04 08:40:11 | order_id=0x973e7518ed1357fdc6c1a6c8184e1eb05f5c2567e46ee4610ed3c25614d52f0c | market=btc-updown-5m-1772613600 | coin=BTC | side=DOWN | entry=0.5100 | size=5.0000 | pnl=-- | pattern=UUUU | dry_run=False | outcome=LOSS -$2.5500
2026-03-04 08:45:01 UTC | 2026-03-04 08:45:01 | order_id=0xa020fe8b339ae30cdf66b7b3ad4738771f71049c6fb54bbeab27c8865e985dc7 | market=btc-updown-5m-1772613900 | coin=BTC | side=DOWN | entry=0.5000 | size=5.0000 | pnl=-- | pattern=UUUUU | dry_run=False | outcome=LOSS -$2.5000
2026-03-04 08:50:12 UTC | 2026-03-04 08:50:12 | order_id=0xbc05f10d4387865c5d7ec92f945fcaae5f26256d53ed7bb740ae9be73fa210d4 | market=sol-updown-5m-1772614200 | coin=SOL | side=DOWN | entry=0.5100 | size=5.0000 | pnl=-- | pattern=UUUU | dry_run=False | outcome=LOSS -$2.5500
2026-03-04 08:55:11 UTC | 2026-03-04 08:55:11 | order_id=0x17dbd7b6562c593a840a32a5eded4a8543190d4d7bcb8e7dc0079cf20e53ee67 | market=btc-updown-5m-1772614500 | coin=BTC | side=DOWN | entry=0.5100 | size=5.0000 | pnl=-- | pattern=UUUUU | dry_run=False | outcome=PENDING
2026-03-04 08:55:11 UTC | 2026-03-04 08:55:11 | order_id=0x47184b9362fbd87648fbdb7a90f2ee4cfc8d142fd78a9e8eaca86ec32f05a824 | market=sol-updown-5m-1772614500 | coin=SOL | side=DOWN | entry=0.5100 | size=5.0000 | pnl=-- | pattern=UUUUU | dry_run=False | outcome=LOSS -$2.5500
2026-03-04 08:55:11 UTC | 2026-03-04 08:55:11 | order_id=0x2fd77efffe4bb2a04821058be3361482d3dfe92edb76fd6d9fffb92fdfdd91e4 | market=xrp-updown-5m-1772614500 | coin=XRP | side=DOWN | entry=0.5100 | size=5.0000 | pnl=-- | pattern=UUU | dry_run=False | outcome=LOSS -$2.5500
2026-03-04 09:00:11 UTC | 2026-03-04 09:00:11 | order_id=0xf014118c0af9d6732ab933e76bae43e3a970e0a318dbe6a9859cf360308854f4 | market=sol-updown-5m-1772614800 | coin=SOL | side=DOWN | entry=0.5100 | size=5.0000 | pnl=-- | pattern=UUUUU | dry_run=False | outcome=PENDING
2026-03-04 09:00:11 UTC | 2026-03-04 09:00:11 | order_id=0x071687913e852490e114950877ba3d0109947260f9224f30f99e541d1c716a1e | market=xrp-updown-5m-1772614800 | coin=XRP | side=DOWN | entry=0.5100 | size=5.0000 | pnl=-- | pattern=UUUU | dry_run=False | outcome=PENDING
